Company,Location_HQ,Industry,Laid_Off_Count,Percentage,Date,Source,Funds_Raised,Stage,Date_Added,Country,List_of_Employees_Laid_Off
Netflix,SF Bay Area,Media,30,,9/14/22,https://deadline.com/2022/09/netflix-animation-layoff-30-staffers-overhaul-continues-1235118700/,121900,Post-IPO,9/16/22 14:49,United States,Unknown
Netflix,SF Bay Area,Media,300,0.03,6/23/22,https://www.cnbc.com/2022/06/23/netflix-lays-off-300-more-employees-as-revenue-growth-continues-to-slow.html,121900,Post-IPO,6/23/22 19:35,United States,Unknown
Netflix,SF Bay Area,Media,150,0.01,5/17/22,https://www.cnbc.com/2022/05/17/netflix-lays-off-150-employees-as-the-streaming-service-contends-with-big-subscriber-losses.html,121900,Post-IPO,5/17/22 18:58,United States,Unknown
Netflix,SF Bay Area,Media,25,,4/28/22,https://www.thewrap.com/netflix-layoffs-tudum-site-marketing-department/,121900,Post-IPO,5/12/22 1:21,United States,Unknown
Meta,SF Bay Area,Consumer,,,10/4/23,https://www.reuters.com/technology/meta-lay-off-employees-metaverse-silicon-unit-wednesday-2023-10-03/,26000,Post-IPO,10/4/23 2:24,United States,Unknown
Meta,SF Bay Area,Consumer,10000,,3/14/23,https://about.fb.com/news/2023/03/mark-zuckerberg-meta-year-of-efficiency/,26000,Post-IPO,3/14/23 15:19,United States,Unknown
Meta,SF Bay Area,Consumer,11000,0.13,11/9/22,https://www.cnbc.com/2022/11/09/meta-to-lay-off-more-than-11000-thousand-employees.html,26000,Post-IPO,11/9/22 15:04,United States,https://docs.google.com/spreadsheets/d/1edAZoFG25lJpfSpTuJzD9hGijSzRfZ8v84H_Zak4gug/edit
Uber,SF Bay Area,Transportation,200,,6/21/23,https://www.nasdaq.com/articles/uber-to-lay-off-200-employees-in-recruitment-division,25200,Post-IPO,6/22/23 0:19,United States,Unknown
Uber,Vilnius,Transportation,60,,9/7/22,https://www.linkedin.com/posts/gergelyorosz_uber-lithuania-softwareengineering-activity-6973669838502187009-aK1z/,24700,Post-IPO,9/9/22 1:41,Lithuania,Unknown
Uber,Amsterdam,Transportation,225,0.25,6/12/20,https://www.dutchnews.nl/news/2020/06/uber-cuts-amsterdam-workforce-by-15-some-200-jobs-to-go/,24700,Post-IPO,6/27/20 18:25,Netherlands,Unknown
